ticker,date,close,volume,open,high,low
PLIN,02/10/2022,$1.1,"256,461",$1.12,$1.14,$1.1
PLIN,02/09/2022,$1.13,"237,876",$1.13,$1.175,$1.115
PLIN,02/08/2022,$1.14,"279,559",$1.17,$1.2,$1.13
PLIN,02/07/2022,$1.23,"329,240",$1.24,$1.26,$1.18
PLIN,02/04/2022,$1.2,"294,770",$1.18,$1.23,$1.12
PLIN,02/03/2022,$1.14,"265,452",$1.16,$1.2099,$1.12
PLIN,02/02/2022,$1.18,"450,501",$1.17,$1.23,$1.16
PLIN,02/01/2022,$1.2,"634,453",$1.16,$1.2199,$1.14
PLIN,01/31/2022,$1.18,"334,267",$0.981,$1.22,$0.98
PLIN,01/28/2022,$1.05,"90,611",$1.08,$1.09,$1.03
PLIN,01/27/2022,$1.08,"49,567",$1.03,$1.0846,$1.03
PLIN,01/26/2022,$1.05,"40,706",$1.06,$1.095,$1.05
PLIN,01/25/2022,$1.05,"157,550",$1.05,$1.1025,$1.02
PLIN,01/24/2022,$1.07,"108,050",$1.02,$1.07,$1
PLIN,01/21/2022,$1.04,"263,398",$1.13,$1.145,$1.03
PLIN,01/20/2022,$1.13,"384,766",$1.17,$1.219,$1.12
PLIN,01/19/2022,$1.14,"123,287",$1.15,$1.1799,$1.14
PLIN,01/18/2022,$1.15,"164,045",$1.12,$1.17,$1.12
PLIN,01/14/2022,$1.13,"116,338",$1.12,$1.16,$1.11
PLIN,01/13/2022,$1.14,"184,694",$1.2,$1.24,$1.12
PLIN,01/12/2022,$1.18,"376,098",$1.17,$1.25,$1.17
PLIN,01/11/2022,$1.18,"159,673",$1.17,$1.2,$1.15
PLIN,01/10/2022,$1.17,"262,874",$1.17,$1.18,$1.14
PLIN,01/07/2022,$1.13,"746,099",$1.27,$1.2917,$1.12
PLIN,01/06/2022,$1.27,"925,191",$1.544,$1.55,$1.27
PLIN,01/05/2022,$1.43,"308,300",$1.4,$1.48,$1.4
PLIN,01/04/2022,$1.39,"196,127",$1.37,$1.41,$1.36
PLIN,01/03/2022,$1.37,"156,927",$1.39,$1.41,$1.36
PLIN,12/31/2021,$1.37,"350,342",$1.42,$1.42,$1.35
PLIN,12/30/2021,$1.42,"305,893",$1.4,$1.44,$1.36
PLIN,12/29/2021,$1.395,"267,480",$1.41,$1.4599,$1.395
PLIN,12/28/2021,$1.41,"396,641",$1.37,$1.4588,$1.37
PLIN,12/27/2021,$1.39,"239,244",$1.37,$1.42,$1.35
PLIN,12/23/2021,$1.4,"599,260",$1.61,$1.61,$1.3938
PLIN,12/22/2021,$1.58,"349,212",$1.64,$1.6467,$1.56
PLIN,12/21/2021,$1.64,"191,384",$1.65,$1.69,$1.62
PLIN,12/20/2021,$1.62,"511,789",$1.745,$1.8,$1.59
PLIN,12/17/2021,$1.77,"465,991",$1.722,$1.84,$1.66
PLIN,12/16/2021,$1.71,"945,751",$1.81,$1.935,$1.6898
PLIN,12/15/2021,$1.81,"1,867,110",$2.52,$2.57,$1.72
PLIN,12/14/2021,$2.52,"1,357,215",$2.98,$3,$2.232
PLIN,12/13/2021,$2.8,"647,587",$3.08,$3.1199,$2.78
