ticker,date,close
SIEN,2022-02-10,$3.21
SIEN,2022-02-09,$3.10
SIEN,2022-02-08,$2.89
SIEN,2022-02-07,$2.74
SIEN,2022-02-04,$2.71
SIEN,2022-02-03,$2.63
SIEN,2022-02-02,$2.75
SIEN,2022-02-01,$2.89
SIEN,2022-01-31,$2.81
SIEN,2022-01-28,$2.52
SIEN,2022-01-27,$2.48
SIEN,2022-01-26,$2.57
SIEN,2022-01-25,$2.66
SIEN,2022-01-24,$2.70
SIEN,2022-01-21,$2.69
SIEN,2022-01-20,$2.78
SIEN,2022-01-19,$2.78
SIEN,2022-01-18,$2.82
SIEN,2022-01-14,$3.03
SIEN,2022-01-13,$3.10
SIEN,2022-01-12,$3.19
SIEN,2022-01-11,$3.31
SIEN,2022-01-10,$3.38
SIEN,2022-01-07,$3.10
SIEN,2022-01-06,$3.18
SIEN,2022-01-05,$3.22
SIEN,2022-01-04,$3.46
SIEN,2022-01-03,$3.55
SIEN,2021-12-31,$3.67
SIEN,2021-12-30,$3.55
SIEN,2021-12-29,$3.61
SIEN,2021-12-28,$3.51
SIEN,2021-12-27,$3.52
SIEN,2021-12-23,$3.72
SIEN,2021-12-22,$3.65
SIEN,2021-12-21,$3.73
SIEN,2021-12-20,$3.60
SIEN,2021-12-17,$3.74
SIEN,2021-12-16,$3.70
SIEN,2021-12-15,$4.01
SIEN,2021-12-14,$3.85
SIEN,2021-12-13,$3.90
SIEN,2021-12-10,$3.94
SIEN,2021-12-09,$4.21
SIEN,2021-12-08,$4.28
SIEN,2021-12-07,$4.27
SIEN,2021-12-06,$4.02
SIEN,2021-12-03,$3.81
SIEN,2021-12-02,$4.03
SIEN,2021-12-01,$3.83
SIEN,2022-02-10,$3.21
SIEN,2022-02-09,$3.10
SIEN,2022-02-08,$2.89
SIEN,2022-02-07,$2.74
SIEN,2022-02-04,$2.71
SIEN,2022-02-03,$2.63
SIEN,2022-02-02,$2.75
SIEN,2022-02-01,$2.89
SIEN,2022-01-31,$2.81
SIEN,2022-01-28,$2.52
SIEN,2022-01-27,$2.48
SIEN,2022-01-26,$2.57
SIEN,2022-01-25,$2.66
SIEN,2022-01-24,$2.70
SIEN,2022-01-21,$2.69
SIEN,2022-01-20,$2.78
SIEN,2022-01-19,$2.78
SIEN,2022-01-18,$2.82
SIEN,2022-01-14,$3.03
SIEN,2022-01-13,$3.10
