ticker,date,close
PLRX,2022-02-10,$11.50
PLRX,2022-02-09,$11.15
PLRX,2022-02-08,$10.82
PLRX,2022-02-07,$10.99
PLRX,2022-02-04,$10.55
PLRX,2022-02-03,$10.87
PLRX,2022-02-02,$11.44
PLRX,2022-02-01,$12.18
PLRX,2022-01-31,$11.73
PLRX,2022-01-28,$11.51
PLRX,2022-01-27,$11.48
PLRX,2022-01-26,$11.86
PLRX,2022-01-25,$11.50
PLRX,2022-01-24,$11.39
PLRX,2022-01-21,$10.73
PLRX,2022-01-20,$11.20
PLRX,2022-01-19,$11.53
PLRX,2022-01-18,$11.71
PLRX,2022-01-14,$12.68
PLRX,2022-01-13,$12.90
PLRX,2022-01-12,$12.56
PLRX,2022-01-11,$13.10
PLRX,2022-01-10,$11.79
PLRX,2022-01-07,$13.16
PLRX,2022-01-06,$13.11
PLRX,2022-01-05,$13.02
PLRX,2022-01-04,$13.55
PLRX,2022-01-03,$14.10
PLRX,2021-12-31,$13.50
PLRX,2021-12-30,$13.74
PLRX,2021-12-29,$13.48
PLRX,2021-12-28,$13.80
PLRX,2021-12-27,$14.27
PLRX,2021-12-23,$15.36
PLRX,2021-12-22,$15.33
PLRX,2021-12-21,$15.29
PLRX,2021-12-20,$15.59
PLRX,2021-12-17,$15.46
PLRX,2021-12-16,$14.89
PLRX,2021-12-15,$15.20
PLRX,2021-12-14,$15.17
PLRX,2021-12-13,$15.53
PLRX,2021-12-10,$15.11
PLRX,2021-12-09,$14.22
PLRX,2021-12-08,$15.14
PLRX,2021-12-07,$13.80
PLRX,2021-12-06,$12.96
PLRX,2021-12-03,$12.27
PLRX,2021-12-02,$13.20
PLRX,2021-12-01,$13.30
PLRX,2022-02-10,$11.50
PLRX,2022-02-09,$11.15
PLRX,2022-02-08,$10.82
PLRX,2022-02-07,$10.99
PLRX,2022-02-04,$10.55
PLRX,2022-02-03,$10.87
PLRX,2022-02-02,$11.44
PLRX,2022-02-01,$12.18
PLRX,2022-01-31,$11.73
PLRX,2022-01-28,$11.51
PLRX,2022-01-27,$11.48
PLRX,2022-01-26,$11.86
PLRX,2022-01-25,$11.50
PLRX,2022-01-24,$11.39
PLRX,2022-01-21,$10.73
PLRX,2022-01-20,$11.20
PLRX,2022-01-19,$11.53
PLRX,2022-01-18,$11.71
PLRX,2022-01-14,$12.68
PLRX,2022-01-13,$12.90
PLRX,2022-01-12,$12.56
PLRX,2022-01-11,$13.10
PLRX,2022-01-10,$11.79
PLRX,2022-01-07,$13.16
PLRX,2022-01-06,$13.11
PLRX,2022-01-05,$13.02
PLRX,2022-01-04,$13.55
PLRX,2022-01-03,$14.10
PLRX,2021-12-31,$13.50
PLRX,2021-12-30,$13.74
PLRX,2021-12-29,$13.48
PLRX,2021-12-28,$13.80
PLRX,2021-12-27,$14.27
PLRX,2021-12-23,$15.36
PLRX,2021-12-22,$15.33
PLRX,2021-12-21,$15.29
PLRX,2021-12-20,$15.59
PLRX,2021-12-17,$15.46
PLRX,2021-12-16,$14.89
PLRX,2021-12-15,$15.20
PLRX,2021-12-14,$15.17
PLRX,2021-12-13,$15.53
PLRX,2021-12-10,$15.11
PLRX,2021-12-09,$14.22
PLRX,2021-12-08,$15.14
PLRX,2021-12-07,$13.80
PLRX,2021-12-06,$12.96
PLRX,2021-12-03,$12.27
PLRX,2021-12-02,$13.20
PLRX,2021-12-01,$13.30
PLRX,2021-11-30,$14.18
PLRX,2021-11-29,$14.07
PLRX,2021-11-26,$14.49
PLRX,2021-11-24,$15.02
PLRX,2021-11-23,$14.31
PLRX,2021-11-22,$14.82
PLRX,2021-11-19,$15.00
PLRX,2021-11-18,$15.70
PLRX,2021-11-17,$16.30
PLRX,2021-11-16,$16.46
PLRX,2021-11-15,$16.40
PLRX,2021-11-12,$16.77
PLRX,2021-11-11,$16.70
PLRX,2021-11-10,$16.64
PLRX,2021-11-09,$17.13
PLRX,2021-11-08,$17.33
PLRX,2021-11-05,$17.65
PLRX,2021-11-04,$17.74
PLRX,2021-11-03,$17.70
PLRX,2021-11-02,$16.81
PLRX,2021-11-01,$16.72
PLRX,2021-10-29,$15.93
PLRX,2021-10-28,$16.47
PLRX,2021-10-27,$15.73
PLRX,2021-10-26,$16.64
PLRX,2021-10-25,$16.81
PLRX,2021-10-22,$17.18
PLRX,2021-10-21,$17.28
PLRX,2021-10-20,$17.66
PLRX,2021-10-19,$17.05
PLRX,2021-10-18,$16.82
PLRX,2021-10-15,$17.99
PLRX,2021-10-14,$18.26
PLRX,2021-10-13,$17.93
PLRX,2021-10-12,$18.17
PLRX,2021-10-11,$17.75
PLRX,2021-10-08,$17.67
PLRX,2021-10-07,$17.85
PLRX,2021-10-06,$17.43
PLRX,2021-10-05,$17.37
PLRX,2021-10-04,$17.34
PLRX,2021-10-01,$17.27
PLRX,2021-09-30,$16.88
PLRX,2021-09-29,$16.48
PLRX,2021-09-28,$17.52
PLRX,2021-09-27,$18.15
PLRX,2021-09-24,$17.68
PLRX,2021-09-23,$18.24
PLRX,2021-09-22,$17.50
PLRX,2021-09-21,$17.78
PLRX,2021-09-20,$17.95
PLRX,2021-09-17,$18.24
PLRX,2021-09-16,$19.00
PLRX,2021-09-15,$18.85
PLRX,2021-09-14,$18.80
PLRX,2021-09-13,$18.86
PLRX,2021-09-10,$18.55
PLRX,2021-09-09,$18.46
PLRX,2021-09-08,$19.06
PLRX,2021-09-07,$19.16
PLRX,2021-09-03,$19.32
PLRX,2021-09-02,$19.47
PLRX,2021-09-01,$18.16
PLRX,2021-08-31,$18.24
PLRX,2021-08-30,$17.85
PLRX,2021-08-27,$17.97
PLRX,2021-08-26,$18.02
PLRX,2021-08-25,$18.28
PLRX,2021-08-24,$18.31
PLRX,2021-08-23,$18.55
PLRX,2021-08-20,$18.46
PLRX,2021-08-19,$17.76
PLRX,2021-08-18,$18.86
PLRX,2021-08-17,$19.05
PLRX,2021-08-16,$19.36
PLRX,2021-08-13,$19.82
PLRX,2021-08-12,$20.93
PLRX,2021-08-11,$21.50
PLRX,2021-08-10,$21.16
PLRX,2021-08-09,$23.17
PLRX,2021-08-06,$22.62
PLRX,2021-08-05,$22.39
PLRX,2021-08-04,$21.59
PLRX,2021-08-03,$21.58
PLRX,2021-08-02,$21.80
PLRX,2021-07-30,$20.20
PLRX,2021-07-29,$23.15
PLRX,2021-07-28,$25.00
PLRX,2021-07-27,$23.88
PLRX,2021-07-26,$24.71
PLRX,2021-07-23,$25.41
PLRX,2021-07-22,$25.81
PLRX,2021-07-21,$26.45
PLRX,2021-07-20,$25.85
PLRX,2021-07-19,$25.16
PLRX,2021-07-16,$24.79
PLRX,2021-07-15,$24.69
PLRX,2021-07-14,$24.73
PLRX,2021-07-13,$26.04
PLRX,2021-07-12,$27.72
PLRX,2021-07-09,$26.97
PLRX,2021-07-08,$26.44
PLRX,2021-07-07,$26.15
PLRX,2021-07-06,$26.62
PLRX,2021-07-02,$28.12
PLRX,2021-07-01,$28.98
PLRX,2021-06-30,$29.12
PLRX,2021-06-29,$28.20
PLRX,2021-06-28,$28.55
PLRX,2021-06-25,$29.30
PLRX,2021-06-24,$29.65
PLRX,2021-06-23,$29.74
PLRX,2021-06-22,$28.44
PLRX,2021-06-21,$29.51
PLRX,2021-06-18,$28.93
PLRX,2021-06-17,$30.52
PLRX,2021-06-16,$30.37
PLRX,2021-06-15,$31.34
PLRX,2021-06-14,$32.90
PLRX,2021-06-11,$33.00
PLRX,2021-06-10,$31.58
PLRX,2021-06-09,$31.87
PLRX,2021-06-08,$31.57
PLRX,2021-06-07,$31.26
PLRX,2021-06-04,$30.81
PLRX,2021-06-03,$31.07
PLRX,2021-06-02,$29.07
PLRX,2021-06-01,$30.43
PLRX,2021-05-28,$30.06
PLRX,2021-05-27,$30.33
PLRX,2021-05-26,$29.06
PLRX,2021-05-25,$28.10
PLRX,2021-05-24,$28.51
PLRX,2021-05-21,$30.21
PLRX,2021-05-20,$29.76
PLRX,2021-05-19,$28.17
PLRX,2021-05-18,$29.48
PLRX,2021-05-17,$30.58
PLRX,2021-05-14,$28.05
PLRX,2021-05-13,$29.25
PLRX,2021-05-12,$31.15
PLRX,2021-05-11,$32.87
PLRX,2021-05-10,$30.49
PLRX,2021-05-07,$32.90
PLRX,2021-05-06,$31.72
PLRX,2021-05-05,$32.63
PLRX,2021-05-04,$34.95
PLRX,2021-05-03,$34.29
PLRX,2021-04-30,$33.50
PLRX,2021-04-29,$33.35
PLRX,2021-04-28,$33.62
PLRX,2021-04-27,$33.03
PLRX,2021-04-26,$32.85
PLRX,2021-04-23,$29.87
PLRX,2021-04-22,$29.79
PLRX,2021-04-21,$29.05
PLRX,2021-04-20,$28.18
PLRX,2021-04-19,$28.42
PLRX,2021-04-16,$29.93
PLRX,2021-04-15,$30.64
PLRX,2021-04-14,$30.23
PLRX,2021-04-13,$30.26
PLRX,2021-04-12,$30.70
PLRX,2021-04-09,$33.90
PLRX,2021-04-08,$36.56
PLRX,2021-04-07,$36.30
PLRX,2021-04-06,$37.61
PLRX,2021-04-05,$37.69
PLRX,2021-04-01,$35.90
PLRX,2021-03-31,$39.33
PLRX,2021-03-30,$36.99
PLRX,2021-03-29,$36.50
PLRX,2021-03-26,$39.65
PLRX,2021-03-25,$40.23
PLRX,2021-03-24,$39.79
PLRX,2021-03-23,$38.28
PLRX,2021-03-22,$38.28
PLRX,2021-03-19,$39.18
PLRX,2021-03-18,$39.78
PLRX,2021-03-17,$40.00
PLRX,2021-03-16,$38.50
PLRX,2021-03-15,$38.23
PLRX,2021-03-12,$38.06
PLRX,2021-03-11,$38.25
PLRX,2021-03-10,$38.15
PLRX,2021-03-09,$38.12
PLRX,2021-03-08,$34.35
PLRX,2021-03-05,$31.51
PLRX,2021-03-04,$32.14
PLRX,2021-03-03,$36.00
PLRX,2021-03-02,$36.78
PLRX,2021-03-01,$35.47
PLRX,2021-02-26,$33.09
PLRX,2021-02-25,$39.74
PLRX,2021-02-24,$40.06
PLRX,2021-02-23,$34.13
PLRX,2021-02-22,$34.96
PLRX,2021-02-19,$33.16
PLRX,2021-02-18,$30.37
PLRX,2021-02-17,$31.97
PLRX,2021-02-16,$32.90
PLRX,2021-02-12,$31.32
PLRX,2021-02-11,$29.87
PLRX,2021-02-10,$28.93
PLRX,2021-02-09,$32.11
PLRX,2021-02-08,$31.35
PLRX,2021-02-05,$34.10
PLRX,2021-02-04,$31.31
PLRX,2021-02-03,$30.77
PLRX,2021-02-02,$30.69
PLRX,2021-02-01,$25.31
PLRX,2021-01-29,$24.61
PLRX,2021-01-28,$25.08
PLRX,2021-01-27,$26.15
PLRX,2021-01-26,$27.06
PLRX,2021-01-25,$27.25
PLRX,2021-01-22,$26.50
PLRX,2021-01-21,$26.08
PLRX,2021-01-20,$25.45
PLRX,2021-01-19,$26.28
PLRX,2021-01-15,$26.13
PLRX,2021-01-14,$25.88
PLRX,2021-01-13,$27.70
PLRX,2021-01-12,$27.71
PLRX,2021-01-11,$27.46
PLRX,2021-01-08,$27.43
PLRX,2021-01-07,$27.63
PLRX,2021-01-06,$27.37
PLRX,2021-01-05,$24.94
PLRX,2021-01-04,$24.52
PLRX,2020-12-31,$22.72
PLRX,2020-12-30,$23.33
PLRX,2020-12-29,$24.69
PLRX,2020-12-28,$25.16
PLRX,2020-12-24,$25.41
PLRX,2020-12-23,$25.64
PLRX,2020-12-22,$26.23
PLRX,2020-12-21,$25.44
PLRX,2020-12-18,$25.49
PLRX,2020-12-17,$26.98
PLRX,2020-12-16,$27.59
PLRX,2020-12-15,$28.79
PLRX,2020-12-14,$27.42
PLRX,2020-12-11,$26.64
PLRX,2020-12-10,$27.29
PLRX,2020-12-09,$26.24
PLRX,2020-12-08,$27.66
PLRX,2020-12-07,$27.18
PLRX,2020-12-04,$28.20
PLRX,2020-12-03,$28.26
PLRX,2020-12-02,$28.50
PLRX,2020-12-01,$30.00
PLRX,2020-11-30,$27.52
PLRX,2020-11-27,$32.99
PLRX,2020-11-25,$29.77
PLRX,2020-11-24,$29.43
PLRX,2020-11-23,$28.85
PLRX,2020-11-20,$28.62
PLRX,2020-11-19,$27.37
PLRX,2020-11-18,$26.28
PLRX,2020-11-17,$28.97
PLRX,2020-11-16,$26.26
PLRX,2020-11-13,$24.76
PLRX,2020-11-12,$25.71
PLRX,2020-11-11,$25.24
PLRX,2020-11-10,$23.57
PLRX,2020-11-09,$22.52
PLRX,2020-11-06,$21.84
PLRX,2020-11-05,$22.56
PLRX,2020-11-04,$21.88
PLRX,2020-11-03,$21.38
PLRX,2020-11-02,$21.16
PLRX,2020-10-30,$21.62
PLRX,2020-10-29,$21.53
PLRX,2020-10-28,$20.80
PLRX,2020-10-27,$22.16
PLRX,2020-10-26,$22.72
PLRX,2020-10-23,$23.77
PLRX,2020-10-22,$23.07
PLRX,2020-10-21,$22.86
PLRX,2020-10-20,$22.81
PLRX,2020-10-19,$24.26
PLRX,2020-10-16,$24.85
PLRX,2020-10-15,$24.25
PLRX,2020-10-14,$23.56
PLRX,2020-10-13,$24.52
PLRX,2020-10-12,$24.87
PLRX,2020-10-09,$24.32
PLRX,2020-10-08,$23.58
PLRX,2020-10-07,$24.35
PLRX,2020-10-06,$21.92
PLRX,2020-10-05,$21.43
PLRX,2020-10-02,$20.09
PLRX,2020-10-01,$19.89
PLRX,2020-09-30,$22.65
PLRX,2020-09-29,$23.74
