ticker,date,close
ARNA,2022-02-10,$94.00
ARNA,2022-02-09,$93.44
ARNA,2022-02-08,$92.62
ARNA,2022-02-07,$92.00
ARNA,2022-02-04,$91.54
ARNA,2022-02-03,$92.06
ARNA,2022-02-02,$92.95
ARNA,2022-02-01,$92.70
ARNA,2022-01-31,$91.98
ARNA,2022-01-28,$91.24
ARNA,2022-01-27,$89.79
ARNA,2022-01-26,$89.63
ARNA,2022-01-25,$89.89
ARNA,2022-01-24,$89.95
ARNA,2022-01-21,$90.48
ARNA,2022-01-20,$91.01
ARNA,2022-01-19,$91.51
ARNA,2022-01-18,$91.98
ARNA,2022-01-14,$92.65
ARNA,2022-01-13,$92.47
ARNA,2022-01-12,$92.77
ARNA,2022-01-11,$93.25
ARNA,2022-01-10,$94.08
ARNA,2022-01-07,$93.18
ARNA,2022-01-06,$93.00
ARNA,2022-01-05,$92.97
ARNA,2022-01-04,$93.21
ARNA,2022-01-03,$93.19
ARNA,2021-12-31,$92.94
ARNA,2021-12-30,$92.90
ARNA,2021-12-29,$92.95
ARNA,2021-12-28,$92.67
ARNA,2021-12-27,$92.04
ARNA,2021-12-23,$91.23
ARNA,2021-12-22,$90.73
ARNA,2021-12-21,$90.91
ARNA,2021-12-20,$91.06
ARNA,2021-12-17,$91.80
ARNA,2021-12-16,$92.21
ARNA,2021-12-15,$92.85
ARNA,2021-12-14,$92.00
ARNA,2021-12-13,$90.08
ARNA,2021-12-10,$49.94
ARNA,2021-12-09,$52.75
ARNA,2021-12-08,$54.71
ARNA,2021-12-07,$52.66
ARNA,2021-12-06,$50.07
ARNA,2021-12-03,$49.55
ARNA,2021-12-02,$53.17
ARNA,2021-12-01,$51.92
ARNA,2022-02-10,$94.00
ARNA,2022-02-09,$93.44
ARNA,2022-02-08,$92.62
ARNA,2022-02-07,$92.00
ARNA,2022-02-04,$91.54
ARNA,2022-02-03,$92.06
ARNA,2022-02-02,$92.95
ARNA,2022-02-01,$92.70
ARNA,2022-01-31,$91.98
ARNA,2022-01-28,$91.24
ARNA,2022-01-27,$89.79
ARNA,2022-01-26,$89.63
ARNA,2022-01-25,$89.89
ARNA,2022-01-24,$89.95
ARNA,2022-01-21,$90.48
ARNA,2022-01-20,$91.01
ARNA,2022-01-19,$91.51
ARNA,2022-01-18,$91.98
ARNA,2022-01-14,$92.65
ARNA,2022-01-13,$92.47
ARNA,2022-01-12,$92.77
ARNA,2022-01-11,$93.25
ARNA,2022-01-10,$94.08
ARNA,2022-01-07,$93.18
ARNA,2022-01-06,$93.00
ARNA,2022-01-05,$92.97
ARNA,2022-01-04,$93.21
ARNA,2022-01-03,$93.19
ARNA,2021-12-31,$92.94
ARNA,2021-12-30,$92.90
ARNA,2021-12-29,$92.95
ARNA,2021-12-28,$92.67
ARNA,2021-12-27,$92.04
ARNA,2021-12-23,$91.23
ARNA,2021-12-22,$90.73
ARNA,2021-12-21,$90.91
ARNA,2021-12-20,$91.06
ARNA,2021-12-17,$91.80
ARNA,2021-12-16,$92.21
ARNA,2021-12-15,$92.85
ARNA,2021-12-14,$92.00
ARNA,2021-12-13,$90.08
ARNA,2021-12-10,$49.94
ARNA,2021-12-09,$52.75
ARNA,2021-12-08,$54.71
ARNA,2021-12-07,$52.66
ARNA,2021-12-06,$50.07
ARNA,2021-12-03,$49.55
ARNA,2021-12-02,$53.17
ARNA,2021-12-01,$51.92
ARNA,2021-11-30,$54.49
ARNA,2021-11-29,$54.96
ARNA,2021-11-26,$57.42
ARNA,2021-11-24,$58.96
ARNA,2021-11-23,$58.53
ARNA,2021-11-22,$59.32
ARNA,2021-11-19,$59.36
ARNA,2021-11-18,$59.23
ARNA,2021-11-17,$59.94
ARNA,2021-11-16,$60.52
ARNA,2021-11-15,$58.85
ARNA,2021-11-12,$59.98
ARNA,2021-11-11,$59.28
ARNA,2021-11-10,$60.17
ARNA,2021-11-09,$60.09
ARNA,2021-11-08,$61.69
ARNA,2021-11-05,$60.91
ARNA,2021-11-04,$63.00
ARNA,2021-11-03,$63.44
ARNA,2021-11-02,$62.90
ARNA,2021-11-01,$59.76
ARNA,2021-10-29,$57.39
ARNA,2021-10-28,$57.97
ARNA,2021-10-27,$55.50
ARNA,2021-10-26,$56.94
ARNA,2021-10-25,$58.65
ARNA,2021-10-22,$60.35
ARNA,2021-10-21,$61.68
ARNA,2021-10-20,$61.55
ARNA,2021-10-19,$60.94
ARNA,2021-10-18,$61.41
ARNA,2021-10-15,$62.89
ARNA,2021-10-14,$63.74
ARNA,2021-10-13,$62.83
ARNA,2021-10-12,$62.17
ARNA,2021-10-11,$60.40
ARNA,2021-10-08,$61.36
ARNA,2021-10-07,$59.51
ARNA,2021-10-06,$59.11
ARNA,2021-10-05,$58.23
ARNA,2021-10-04,$59.88
ARNA,2021-10-01,$60.00
ARNA,2021-09-30,$59.55
ARNA,2021-09-29,$59.94
ARNA,2021-09-28,$59.69
ARNA,2021-09-27,$61.29
ARNA,2021-09-24,$60.08
ARNA,2021-09-23,$61.08
ARNA,2021-09-22,$60.66
ARNA,2021-09-21,$60.64
ARNA,2021-09-20,$59.86
ARNA,2021-09-17,$61.05
ARNA,2021-09-16,$59.95
ARNA,2021-09-15,$59.09
ARNA,2021-09-14,$57.55
ARNA,2021-09-13,$59.27
ARNA,2021-09-10,$59.39
ARNA,2021-09-09,$59.14
ARNA,2021-09-08,$59.46
ARNA,2021-09-07,$59.87
ARNA,2021-09-03,$60.25
ARNA,2021-09-02,$59.34
ARNA,2021-09-01,$56.78
ARNA,2021-08-31,$52.92
ARNA,2021-08-30,$51.75
ARNA,2021-08-27,$52.43
ARNA,2021-08-26,$50.76
ARNA,2021-08-25,$51.06
ARNA,2021-08-24,$50.59
ARNA,2021-08-23,$51.21
ARNA,2021-08-20,$46.90
ARNA,2021-08-19,$45.80
ARNA,2021-08-18,$46.65
ARNA,2021-08-17,$48.07
ARNA,2021-08-16,$47.77
ARNA,2021-08-13,$48.12
ARNA,2021-08-12,$49.63
ARNA,2021-08-11,$50.97
ARNA,2021-08-10,$51.48
ARNA,2021-08-09,$53.09
ARNA,2021-08-06,$55.16
ARNA,2021-08-05,$62.10
ARNA,2021-08-04,$59.37
ARNA,2021-08-03,$60.43
ARNA,2021-08-02,$60.49
ARNA,2021-07-30,$61.86
ARNA,2021-07-29,$62.34
ARNA,2021-07-28,$63.82
ARNA,2021-07-27,$61.32
ARNA,2021-07-26,$63.80
ARNA,2021-07-23,$65.30
ARNA,2021-07-22,$64.53
ARNA,2021-07-21,$65.11
ARNA,2021-07-20,$64.24
ARNA,2021-07-19,$63.12
ARNA,2021-07-16,$64.33
ARNA,2021-07-15,$64.10
ARNA,2021-07-14,$65.49
ARNA,2021-07-13,$66.76
ARNA,2021-07-12,$68.04
ARNA,2021-07-09,$68.01
ARNA,2021-07-08,$67.89
ARNA,2021-07-07,$68.12
ARNA,2021-07-06,$69.69
ARNA,2021-07-02,$70.56
ARNA,2021-07-01,$71.24
ARNA,2021-06-30,$68.20
ARNA,2021-06-29,$69.93
ARNA,2021-06-28,$71.29
ARNA,2021-06-25,$73.34
ARNA,2021-06-24,$68.70
ARNA,2021-06-23,$67.21
ARNA,2021-06-22,$66.88
