ticker,date,close
RMD,2022-02-10,$244.35
RMD,2022-02-09,$246.48
RMD,2022-02-08,$241.05
RMD,2022-02-07,$237.55
RMD,2022-02-04,$239.01
RMD,2022-02-03,$237.01
RMD,2022-02-02,$237.20
RMD,2022-02-01,$232.16
RMD,2022-01-31,$228.60
RMD,2022-01-28,$216.12
RMD,2022-01-27,$224.89
RMD,2022-01-26,$231.04
RMD,2022-01-25,$232.17
RMD,2022-01-24,$238.52
RMD,2022-01-21,$235.16
RMD,2022-01-20,$237.96
RMD,2022-01-19,$241.39
RMD,2022-01-18,$240.69
RMD,2022-01-14,$252.16
RMD,2022-01-13,$251.70
RMD,2022-01-12,$244.17
RMD,2022-01-11,$238.37
RMD,2022-01-10,$237.35
RMD,2022-01-07,$237.23
RMD,2022-01-06,$241.80
RMD,2022-01-05,$244.74
RMD,2022-01-04,$253.44
RMD,2022-01-03,$259.51
RMD,2021-12-31,$260.48
RMD,2021-12-30,$261.99
RMD,2021-12-29,$261.11
RMD,2021-12-28,$260.89
RMD,2021-12-27,$262.07
RMD,2021-12-23,$258.82
RMD,2021-12-22,$261.70
RMD,2021-12-21,$257.63
RMD,2021-12-20,$248.03
RMD,2021-12-17,$252.98
RMD,2021-12-16,$253.77
RMD,2021-12-15,$256.56
RMD,2021-12-14,$256.46
RMD,2021-12-13,$263.49
RMD,2021-12-10,$261.38
RMD,2021-12-09,$264.56
RMD,2021-12-08,$268.02
RMD,2021-12-07,$265.91
RMD,2021-12-06,$260.30
RMD,2021-12-03,$254.78
RMD,2021-12-02,$255.88
RMD,2021-12-01,$253.29
RMD,2022-02-10,$244.35
RMD,2022-02-09,$246.48
RMD,2022-02-08,$241.05
RMD,2022-02-07,$237.55
RMD,2022-02-04,$239.01
RMD,2022-02-03,$237.01
RMD,2022-02-02,$237.20
RMD,2022-02-01,$232.16
RMD,2022-01-31,$228.60
RMD,2022-01-28,$216.12
RMD,2022-01-27,$224.89
RMD,2022-01-26,$231.04
RMD,2022-01-25,$232.17
RMD,2022-01-24,$238.52
RMD,2022-01-21,$235.16
RMD,2022-01-20,$237.96
RMD,2022-01-19,$241.39
RMD,2022-01-18,$240.69
RMD,2022-01-14,$252.16
RMD,2022-01-13,$251.70
RMD,2022-01-12,$244.17
RMD,2022-01-11,$238.37
RMD,2022-01-10,$237.35
RMD,2022-01-07,$237.23
RMD,2022-01-06,$241.80
RMD,2022-01-05,$244.74
RMD,2022-01-04,$253.44
RMD,2022-01-03,$259.51
RMD,2021-12-31,$260.48
RMD,2021-12-30,$261.99
RMD,2021-12-29,$261.11
RMD,2021-12-28,$260.89
RMD,2021-12-27,$262.07
RMD,2021-12-23,$258.82
RMD,2021-12-22,$261.70
RMD,2021-12-21,$257.63
RMD,2021-12-20,$248.03
RMD,2021-12-17,$252.98
RMD,2021-12-16,$253.77
RMD,2021-12-15,$256.56
RMD,2021-12-14,$256.46
RMD,2021-12-13,$263.49
RMD,2021-12-10,$261.38
RMD,2021-12-09,$264.56
RMD,2021-12-08,$268.02
RMD,2021-12-07,$265.91
RMD,2021-12-06,$260.30
RMD,2021-12-03,$254.78
RMD,2021-12-02,$255.88
RMD,2021-12-01,$253.29
RMD,2021-11-30,$254.85
RMD,2021-11-29,$256.92
RMD,2021-11-26,$251.21
RMD,2021-11-24,$255.00
RMD,2021-11-23,$254.36
RMD,2021-11-22,$257.22
RMD,2021-11-19,$260.31
RMD,2021-11-18,$263.16
RMD,2021-11-17,$262.53
RMD,2021-11-16,$266.48
RMD,2021-11-15,$262.37
RMD,2021-11-12,$254.81
RMD,2021-11-11,$253.30
RMD,2021-11-10,$259.47
RMD,2021-11-09,$261.65
RMD,2021-11-08,$263.63
RMD,2021-11-05,$260.55
RMD,2021-11-04,$262.65
RMD,2021-11-03,$268.12
RMD,2021-11-02,$262.60
RMD,2021-11-01,$264.95
RMD,2021-10-29,$262.91
RMD,2021-10-28,$268.66
RMD,2021-10-27,$268.12
RMD,2021-10-26,$267.72
RMD,2021-10-25,$267.98
RMD,2021-10-22,$267.50
RMD,2021-10-21,$263.04
RMD,2021-10-20,$261.45
RMD,2021-10-19,$260.16
RMD,2021-10-18,$256.99
RMD,2021-10-15,$255.49
RMD,2021-10-14,$254.62
RMD,2021-10-13,$252.25
RMD,2021-10-12,$252.25
RMD,2021-10-11,$251.62
RMD,2021-10-08,$253.90
RMD,2021-10-07,$254.99
RMD,2021-10-06,$256.17
RMD,2021-10-05,$257.97
RMD,2021-10-04,$255.02
RMD,2021-10-01,$262.20
RMD,2021-09-30,$263.55
RMD,2021-09-29,$265.36
RMD,2021-09-28,$264.82
RMD,2021-09-27,$270.50
RMD,2021-09-24,$279.48
RMD,2021-09-23,$282.75
RMD,2021-09-22,$288.48
RMD,2021-09-21,$288.23
RMD,2021-09-20,$284.23
RMD,2021-09-17,$285.95
RMD,2021-09-16,$286.18
RMD,2021-09-15,$290.42
RMD,2021-09-14,$292.28
RMD,2021-09-13,$288.90
RMD,2021-09-10,$295.59
RMD,2021-09-09,$295.58
RMD,2021-09-08,$297.36
RMD,2021-09-07,$296.01
RMD,2021-09-03,$295.80
RMD,2021-09-02,$294.40
RMD,2021-09-01,$288.07
RMD,2021-08-31,$290.53
RMD,2021-08-30,$289.06
RMD,2021-08-27,$286.91
RMD,2021-08-26,$285.04
RMD,2021-08-25,$285.56
RMD,2021-08-24,$282.24
RMD,2021-08-23,$285.84
RMD,2021-08-20,$285.69
RMD,2021-08-19,$283.03
RMD,2021-08-18,$279.57
RMD,2021-08-17,$280.60
RMD,2021-08-16,$280.24
RMD,2021-08-13,$275.10
RMD,2021-08-12,$275.20
RMD,2021-08-11,$272.51
